county,constituency,ward,no_of_polling_station,no_of_registered_voters
UASIN GISHU,KAPSERET,KIPKENYO,26,15509
NYERI,MATHIRA,KONYU,26,13428
NYANDARUA,KINANGOP,MAGUMU,26,14827
KISII,BOMACHOGE CHACHE,MAJOGE BASI,26,13016
BUSIA,TESO NORTH,MALABA CENTRAL,26,13248
BUSIA,BUTULA,MARACHI NORTH,26,12937
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,MARIANI,26,10573
MACHAKOS,MATUNGULU,MATUNGULU NORTH,26,12504
EMBU,MBEERE NORTH,MUMINJI,26,9849
NYERI,KIENI,MWIYOGO/ENDARASHA,26,12691
BOMET,BOMET CENTRAL,NDARAWETA,26,12233
KISUMU,KISUMU WEST,NORTH WEST KISUMU,26,13975
KISII,NYARIBARI MASABA,NYAMASIBI,26,11782
SAMBURU,SAMBURU NORTH,NYIRO,26,5779
NAKURU,NAIVASHA,OLKARIA,26,14768
NYERI,MATHIRA,RUGURU,26,14670
MOMBASA,LIKONI,SHIKA ADABU,26,15437
BUNGOMA,WEBUYE WEST,SITIKHO,26,12540
ELGEYO/MARAKWET,KEIYO NORTH,TAMBACH,26,9698
KIRINYAGA,MWEA,THIBA,26,15157
KWALE,MATUGA,TIWI,26,11016
MARSABIT,MOYALE,URAN,26,7932
HOMA BAY,RANGWE,WEST GEM,26,12456
LAMU,LAMU WEST,WITU,26,9697
SIAYA,GEM,YALA TOWNSHIP,26,13874
BUSIA,TESO SOUTH,ANG'OROM,27,13730
KISII,BOBASI,BOBASI CHACHE,27,12997
TAITA TAVETA,MWATATE,BURA,27,9937
MIGORI,AWENDO,CENTRAL SAKWA,27,14623
TRANS NZOIA,CHERANGANY,CHEPSIRO/KIPTOROR,27,11725
BUNGOMA,MT. ELGON,CHEPTAIS,27,13342
KAKAMEGA,MUMIAS WEST,ETENJE,27,13017
TANA RIVER,GARSEN,GARSEN WEST,27,10999
NYANDARUA,KIPIPIRI,GITHIORO,27,11692
TANA RIVER,BURA,HIRIMANI,27,10750
GARISSA,GARISSA TOWNSHIP,IFTIN,27,11479
NANDI,MOSOP,KABISAGA,27,11750
NANDI,MOSOP,KABIYET,27,12249
EMBU,RUNYENJES,KAGAARI SOUTH,27,13564
TRANS NZOIA,CHERANGANY,KAPLAMAI,27,13319
NYANDARUA,OL KALOU,KARAU,27,13594
BOMET,BOMET EAST,KEMBU,27,12901
MACHAKOS,MAVOKO,KINANIE,27,14831
TURKANA,TURKANA NORTH,LAPUR,27,7188
TURKANA,LOIMA,LOKIRIAMA/LORENGIPPI,27,4835
NYERI,MATHIRA,MAGUTU,27,13383
BUNGOMA,WEBUYE EAST,MARAKA,27,13757
KISII,BOBASI,MASIGE EAST,27,11667
KISII,BOBASI,MASIGE WEST,27,12614
MACHAKOS,MACHAKOS TOWN,MUTITUNI,27,14486
KAKAMEGA,MATUNGU,NAMAMALI,27,15175
MACHAKOS,MASINGA,NDITHINI,27,12053
UASIN GISHU,TURBO,NGENYILEL,27,13131
NYANDARUA,KINANGOP,NJABINI\KIBURU,27,12793
THARAKA - NITHI,THARAKA,NKONDI,27,9543
LAIKIPIA,LAIKIPIA WEST,RUMURUTI TOWNSHIP,27,13241
KAKAMEGA,LURAMBI,SHIRERE,27,15404
NAKURU,KURESOI NORTH,SIRIKWA,27,12828
BUNGOMA,TONGAREN,SOYSAMBU/ MITUA,27,13335
KILIFI,KILIFI NORTH,TEZO,27,14830
HOMA BAY,KASIPUL,WEST KAMAGAK,27,14342
TAITA TAVETA,WUNDANYI,WUNDANYI/MBALE,27,12988
BUSIA,BUDALANGI,BUNYALA WEST,28,14863
SIAYA,BONDO,CENTRAL SAKWA,28,13782
KERICHO,BURETI,CHEBOIN,28,13297
KWALE,LUNGALUNGA,DZOMBO,28,14688
SIAYA,GEM,EAST GEM,28,13952
KAJIADO,KAJIADO SOUTH,ENTONET/LENKISIM,28,12775
NYERI,KIENI,GAKAWA,28,13863
THARAKA - NITHI,MAARA,GANGA,28,12691
GARISSA,IJARA,IJARA,28,7383
BARINGO,BARINGO SOUTH,ILCHAMUS,28,8722
NAROK,EMURUA DIKIRR,ILKERIN,28,13509
KILIFI,KILIFI SOUTH,JUNJU,28,15747
MURANG'A,MARAGWA,KAMBITI,28,13186
WEST POKOT,KACHELIBA,KAPCHOK,28,7416
NANDI,TINDERET,KAPSIMOTWO,28,9535
NYERI,OTHAYA,KARIMA,28,12289
HOMA BAY,SUBA NORTH,KASGUNGA,28,12876
MAKUENI,KAITI,KEE,28,12212
MANDERA,MANDERA EAST,KHALALIO,28,11106
MERU,CENTRAL IMENTI,KIAGU,28,12318
HOMA BAY,KARACHUONYO,KIBIRI,28,12053
MURANG'A,KIGUMO,KIGUMO,28,15527
MAKUENI,KIBWEZI WEST,KIKUMBULYU SOUTH,28,14056
BOMET,KONOIN,KIMULOT,28,12321
KERICHO,BURETI,KISIARA,28,12486
EMBU,MANYATTA,KITHIMU,28,11824
NAIROBI CITY,RUARAKA,KOROGOCHO,28,17440
KITUI,KITUI WEST,KWA MUTONGA/KITHUMULA,28,11022
EMBU,RUNYENJES,KYENI NORTH,28,15314
BARINGO,ELDAMA RAVINE,LEMBUS/PERKERRA,28,10871
NAIROBI CITY,KIBRA,LINDI,28,19082
NYAMIRA,KITUTU MASABA,MAGOMBO,28,13683
NYAMIRA,NORTH MUGIRANGO,MAGWAGWA,28,12780
NAKURU,GILGIL,MALEWA WEST,28,15009
NAIROBI CITY,EMBAKASI CENTRAL,MATOPENI/SPRING VALLEY,28,19193
KAKAMEGA,LUGARI,MAUTUMA,28,13465
NAROK,NAROK SOUTH,MELELO,28,11373
BUNGOMA,WEBUYE WEST,MISIKHU,28,14118
MURANG'A,KIGUMO,MUTHITHI,28,14559
MAKUENI,MAKUENI,MUVAU/KIKUUMINI,28,13583
NAKURU,NAIVASHA,NAIVASHA EAST,28,15448
KIAMBU,GATUNDU SOUTH,NDARUGU,28,14486
KIRINYAGA,GICHUGU,NGARIAMA,28,13976
MERU,TIGANIA WEST,NKOMO,28,13030
MERU,NORTH IMENTI,NTIMA EAST,28,14904
KIAMBU,LARI,NYANDUMA,28,14572
KITUI,KITUI EAST,NZAMBANI,28,11723
NAROK,EMURUA DIKIRR,OLOLMASANI,28,12560
NAIROBI CITY,STAREHE,PANGANI,28,18494
KWALE,KINANGO,PUMA,28,9844
KIAMBU,KIAMBU,RIABAI,28,15896
NYERI,MUKURWEINI,RUGI,28,13959
GARISSA,BALAMBALA,SANKURI,28,9605
KAKAMEGA,MALAVA,SHIRUGU-MUGAI,28,12238
KITUI,MWINGI NORTH,THARAKA,28,7429
BARINGO,TIATY,TIRIOKO,28,5764
MANDERA,MANDERA EAST,TOWNSHIP,28,14790
ISIOLO,ISIOLO NORTH,WABERA,28,15034
SAMBURU,SAMBURU EAST,WAMBA NORTH,28,5254
KILIFI,KILIFI NORTH,WATAMU,28,15341
VIHIGA,LUANDA,WEMILABI,28,11618
SIAYA,GEM,WEST GEM,28,14228
MOMBASA,CHANGAMWE,AIRPORT,29,18557
KISII,BOBASI,BASI CENTRAL,29,13122
TRANS NZOIA,KWANZA,BIDII,29,17510
MOMBASA,LIKONI,BOFU,29,18188
KISII,SOUTH MUGIRANGO,BOGETENGA,29,14408
NYAMIRA,WEST MUGIRANGO,BONYAMATUTA,29,15455
KILIFI,KILIFI SOUTH,CHASIMBA,29,14090
ISIOLO,ISIOLO NORTH,CHERAB,29,8065
KAKAMEGA,LUGARI,CHEVAYWA,29,14821
KISUMU,SEME,EAST SEME,29,13920
MACHAKOS,MASINGA,EKALAKALA,29,11265
NYAMIRA,NORTH MUGIRANGO,EKERENYO,29,14273
MANDERA,MANDERA NORTH,GUTICHA,29,10038
KISII,NYARIBARI CHACHE,IBENO,29,12916
KAKAMEGA,IKOLOMANI,IDAKHO NORTH,29,13605
NAKURU,BAHATI,KABATINI,29,13154
HOMA BAY,NDHIWA,KABUOCH SOUTH/PALA,29,13741
TAITA TAVETA,VOI,KALOLENI,29,17547
MURANG'A,MARAGWA,KAMAHUHA,29,16236
KITUI,KITUI SOUTH,KANZIKO,29,8403
BARINGO,BARINGO CENTRAL,KAPROPITA,29,8940
ELGEYO/MARAKWET,MARAKWET WEST,KAPSOWAR,29,13187
NANDI,ALDAI,KAPTUMO-KABOI,29,14355
MACHAKOS,KATHIANI,KATHIANI CENTRAL,29,15070
KAKAMEGA,MATUNGU,KHOLERA,29,14513
NAIROBI CITY,MATHARE,KIAMAIKO,29,19193
TRANS NZOIA,KIMININI,KIMININI,29,17302
BOMET,BOMET EAST,KIPRERES,29,12101
WEST POKOT,KACHELIBA,KODICH,29,8354
BARINGO,TIATY,KOLOWA,29,6769
KISUMU,KISUMU EAST,KOLWA EAST,29,15294
NAIROBI CITY,KIBRA,LAINI SABA,29,19378
ELGEYO/MARAKWET,MARAKWET WEST,LELAN,29,10081
BARINGO,ELDAMA RAVINE,LEMBUS KWEN,29,10757
BOMET,BOMET EAST,LONGISA,29,14576
KAKAMEGA,LUGARI,LWANDETI,29,13644
VIHIGA,SABATIA,LYADUYWA/IZAVA,29,14899
MIGORI,NYATIKE,MACALDER/KANYARWANDA,29,13187
KILIFI,KILIFI NORTH,MATSANGONI,29,15168
BUNGOMA,WEBUYE WEST,MATULO,29,16304
MACHAKOS,MATUNGULU,MATUNGULU EAST,29,12826
MAKUENI,MAKUENI,MAVINDINI,29,11154
KAKAMEGA,MATUNGU,MAYONI,29,15352
BUNGOMA,TONGAREN,MBAKALO,29,13311
THARAKA - NITHI,MAARA,MITHERU,29,10862
MAKUENI,KILOME,MUKAA,29,14484
NAIROBI CITY,LANGATA,NAIROBI WEST,29,18386
NYANDARUA,KINANGOP,NYAKIO,29,15177
NYAMIRA,BORABU,NYANSIONGO,29,16050
MOMBASA,CHANGAMWE,PORT REITZ,29,17817
BOMET,SOTIK,RONGENA/MANARET,29,12034
NYANDARUA,NDARAGWA,SHAMATA,29,12914
SIAYA,UGUNJA,SIDINDI,29,14980
UASIN GISHU,KAPSERET,SIMAT/KAPSERET,29,15275
BOMET,BOMET CENTRAL,SINGORWET,29,12483
KAKAMEGA,MALAVA,SOUTH KABRAS,29,16523
HOMA BAY,KASIPUL,SOUTH KASIPUL,29,14318
BARINGO,TIATY,TANGULBEI/KOROSSI,29,6818
UASIN GISHU,TURBO,TAPSAGOI,29,16483
NANDI,ALDAI,TERIK,29,8867
HOMA BAY,KARACHUONYO,WEST KARACHUONYO,29,11870
SIAYA,BONDO,WEST YIMBO,29,15638
NAKURU,KURESOI SOUTH,AMALO,30,13110
KIRINYAGA,GICHUGU,BARAGWI,30,16311
NYAMIRA,NORTH MUGIRANGO,BOKEIRA,30,13595
BUNGOMA,BUMULA,BUMULA,30,13425
KAKAMEGA,NAVAKHOLO,BUNYALA CENTRAL,30,15811
KISUMU,NYAKACH,CENTRAL NYAKACH,30,14199
KISUMU,SEME,CENTRAL SEME,30,14995
NYANDARUA,OL JOROK,CHARAGITA,30,13932
NANDI,CHESUMEI,CHEMUNDU/KAPNG'ETUNY,30,14254
KWALE,KINANGO,CHENGONI/SAMBURU,30,15037
BUNGOMA,MT. ELGON,CHEPYUK,30,11075
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA I,30,20543
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA II,30,19761
BUNGOMA,MT. ELGON,ELGON,30,14512
VIHIGA,LUANDA,EMABUNGO,30,12590
MAKUENI,KIBWEZI WEST,EMALI/MULALA,30,16724
TRANS NZOIA,ENDEBESS,ENDEBESS,30,15467
KILIFI,MAGARINI,GARASHI,30,10466
KIAMBU,GITHUNGURI,IKINU,30,17450
KITUI,KITUI SOUTH,IKUTHA,30,12066
KISUMU,NYANDO,KABONYO/KANYAGWAL,30,13012
MURANG'A,MATHIOYA,KAMACHARIA,30,15469
NYERI,NYERI TOWN,KAMAKWA/MUKARO,30,16794
KERICHO,KIPKELION WEST,KAMASIAN,30,11827
TURKANA,TURKANA CENTRAL,KANG'ATOTHA,30,7625
MACHAKOS,KANGUNDO,KANGUNDO EAST,30,13340
HOMA BAY,NDHIWA,KANYAMWA KOLOGI,30,13399
BUNGOMA,MT. ELGON,KAPKATENY,30,12141
MERU,TIGANIA EAST,KARAMA,30,12810
KILIFI,KALOLENI,KAYAFUNGO,30,14897
KAJIADO,KAJIADO EAST,KENYAWA-POKA,30,12782
KILIFI,KILIFI NORTH,KIBARANI,30,15655
MERU,BUURI,KIBIRICHIA,30,14840
KIAMBU,LARI,KINALE,30,16503
KIAMBU,KIKUYU,KINOO,30,19303
NYANDARUA,KIPIPIRI,KIPIPIRI,30,14364
KAKAMEGA,LIKUYANI,LIKUYANI,30,16545
KIAMBU,LIMURU,LIMURU EAST,30,17375
MACHAKOS,KATHIANI,LOWER KAEWA/KAANI,30,14084
KAKAMEGA,LUGARI,LUGARI,30,15331
MURANG'A,MARAGWA,MAKUYU,30,16588
KAKAMEGA,MUMIAS EAST,MALAHA/ISONGO/MAKUNGA,30,14885
KISII,KITUTU CHACHE NORTH,MARANI,30,15466
UASIN GISHU,MOIBEN,MOIBEN,30,14350
MURANG'A,GATANGA,MUGUMO-INI,30,14252
KIAMBU,JUJA,MURERA,30,18075
NAKURU,GILGIL,MURINDATI,30,14367
KAKAMEGA,MUMIAS WEST,MUSANDA,30,14636
MERU,IGEMBE NORTH,NAATHU,30,13879
BUNGOMA,SIRISIA,NAMWELA,30,13686
KIAMBU,LIMURU,NDEIYA,30,17035
MURANG'A,MARAGWA,NGINDA,30,16416
KISUMU,KISUMU CENTRAL,NYALENDA B,30,16619
NYAMIRA,WEST MUGIRANGO,NYAMAIYA,30,16431
KIRINYAGA,MWEA,NYANGATI,30,17095
KISUMU,MUHORONI,OMBEYI,30,13969
UASIN GISHU,SOY,SEGERO/BARSOMBE,30,13972
VIHIGA,HAMISI,SHAMAKHOKHO,30,14503
NAROK,KILGORIS,SHANKOE,30,12740
KERICHO,SIGOWET/SOIN,SOIN,30,10979
WAJIR,TARBAJ,TARBAJ,30,9869
KERICHO,BURETI,TEBESONIK,30,11471
BUNGOMA,TONGAREN,TONGAREN,30,15124
BUNGOMA,KANDUYI,TOWNSHIP,30,17919
NAKURU,MOLO,TURI,30,15172
SIAYA,UGENYA,UKWALA,30,14870
MACHAKOS,KATHIANI,UPPER KAEWA/IVETI,30,14314
KWALE,LUNGALUNGA,VANGA,30,15744
NAIROBI CITY,DAGORETTI SOUTH,WAITHAKA,30,19131
SAMBURU,SAMBURU EAST,WAMBA WEST,30,6816
KISUMU,KISUMU WEST,WEST KISUMU,30,13932
BUSIA,FUNYULA,AGENG'A NANGUBA,31,14284
BUNGOMA,KABUCHAI,BWAKE/LUUYA,31,15366
EMBU,RUNYENJES,CENTRAL WARD,31,17035
MOMBASA,CHANGAMWE,CHANGAMWE,31,18182
KIAMBU,GATUNDU NORTH,CHANIA,31,18324
KERICHO,BURETI,CHEMOSOT,31,16344
KAKAMEGA,MALAVA,CHEMUCHE,31,14139
KERICHO,BURETI,CHEPLANGET,31,13560
NYANDARUA,KINANGOP,ENGINEER,31,16199
MURANG'A,KANDARA,GAICHANJIRU,31,16280
WAJIR,WAJIR WEST,GANYURE/WAGALLA,31,8382
KIAMBU,KABETE,GITARU,31,18481
KIAMBU,GATUNDU NORTH,GITHOBOKONI,31,15208
WAJIR,WAJIR SOUTH,HABASSWEIN,31,11026
KAKAMEGA,SHINYALU,ISUKHA CENTRAL,31,16111
KILIFI,GANZE,JARIBUNI,31,12782
UASIN GISHU,TURBO,KAMAGUT,31,16462
MERU,IGEMBE SOUTH,KANUNI,31,14585
MURANG'A,KANGEMA,KANYENYA-INI,31,15567
WAJIR,WAJIR EAST,KHOROF/HARAR,31,8074
KIAMBU,KIAMBAA,KIHARA,31,19814
KERICHO,AINAMOI,KIPCHEBOR,31,16520
NAKURU,KURESOI SOUTH,KIPTAGICH,31,15226
NANDI,CHESUMEI,KOSIRAI,31,15667
NAIROBI CITY,STAREHE,LANDIMAWE,31,20436
NYANDARUA,NDARAGWA,LESHAU/PONDO,31,13842
KAKAMEGA,MUMIAS EAST,LUSHEYA/LUBINU,31,16731
NAIROBI CITY,MATHARE,MABATINI,31,20976
NAROK,NAROK WEST,MARA,31,16597
GARISSA,IJARA,MASALANI,31,11098
BUSIA,MATAYOS,MATAYOS SOUTH,31,15980
KITUI,KITUI RURAL,MBITINI,31,12048
BOMET,BOMET EAST,MERIGI,31,14673
HOMA BAY,SUBA NORTH,MFANGANO ISLAND,31,10569
KISUMU,KISUMU CENTRAL,MIGOSI,31,18193
MOMBASA,JOMVU,MIRITINI,31,18048
NAROK,NAROK EAST,MOSIRO,31,14164
TRANS NZOIA,CHERANGANY,MOTOSIET,31,15528
MACHAKOS,MACHAKOS TOWN,MUA,31,15242
KIAMBU,KIAMBAA,MUCHATHA,31,19412
MURANG'A,KANDARA,MURUKA,31,16240
THARAKA - NITHI,MAARA,MUTHAMBI,31,12753
KITUI,KITUI EAST,MUTITO/KALIKU,31,9980
MERU,CENTRAL IMENTI,MWANGANTHIA,31,15057
KIAMBU,LIMURU,NGECHA TIGONI,31,17978
KIRINYAGA,GICHUGU,NJUKIINI,31,16338
KISUMU,SEME,NORTH SEME,31,15234
SIAYA,UGENYA,NORTH UGENYA,31,16987
NAROK,NAROK SOUTH,OLOLULUNG'A,31,15922
KAJIADO,KAJIADO NORTH,OLOOLUA,31,19810
MARSABIT,SAKU,SAGANTE/JALDESA,31,9027
KISUMU,KISUMU CENTRAL,SHAURIMOYO KALOLENI,31,17675
BUNGOMA,BUMULA,SIBOTI,31,12633
MIGORI,RONGO,SOUTH KAMAGAMBO,31,13537
NAIROBI CITY,DAGORETTI SOUTH,UTHIRU/RUTHIMITU,31,19657
TANA RIVER,GALOLE,WAYU,31,9744
MIGORI,SUNA WEST,WIGA,31,13692
MOMBASA,KISAUNI,BAMBURI,32,20470
KAKAMEGA,MALAVA,BUTALI/CHEGULO,32,15146
KITUI,MWINGI CENTRAL,CENTRAL,32,14525
KITUI,KITUI EAST,CHULUNI,32,12622
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA III,32,21247
NYERI,TETU,DEDAN KIMANTHI,32,14401
LAMU,LAMU EAST,FAZA,32,16515
GARISSA,GARISSA TOWNSHIP,GALBET,32,16698
LAIKIPIA,LAIKIPIA WEST,GITHIGA,32,16143
KIRINYAGA,KIRINYAGA CENTRAL,INOI,32,17272
KAKAMEGA,SHINYALU,ISUKHA SOUTH,32,16003
BARINGO,BARINGO NORTH,KABARTONJO,32,11270
HOMA BAY,SUBA SOUTH,KAKSINGRI WEST,32,13960
NYANDARUA,OL KALOU,KANJUIRI RANGE,32,15596
UASIN GISHU,MOIBEN,KARUNA/MEIBEKI,32,12979
BOMET,CHEPALUNGU,KONG'ASIS,32,14005
NANDI,ALDAI,KOYO-NDURIO,32,12301
KWALE,MATUGA,KUBO SOUTH,32,12087
NAKURU,NJORO,LARE,32,15498
NANDI,CHESUMEI,LELMOKWO/NGECHEK,32,14831
KAJIADO,KAJIADO WEST,MAGADI,32,11204
KISII,NYARIBARI MASABA,MASIMBA,32,14188
KITUI,KITUI WEST,MATINYANI,32,14279
BUNGOMA,TONGAREN,MILIMA,32,15700
MERU,SOUTH IMENTI,MITUNGUU,32,14078
KILIFI,KILIFI NORTH,MNARANI,32,18076
KISII,KITUTU CHACHE NORTH,MONYERERO,32,15350
MOMBASA,KISAUNI,MTOPANGA,32,19474
KIAMBU,KABETE,MUGUGA,32,19681
NYANDARUA,KINANGOP,MURUNGARU,32,15669
TRANS NZOIA,KIMININI,NABISWA,32,18730
BUSIA,NAMBALE,NAMBALE TOWNSHIP,32,17638
KITUI,MWINGI NORTH,NGOMENI,32,9131
HOMA BAY,KARACHUONYO,NORTH KARACHUONYO,32,13731
NAROK,NAROK NORTH,OLORROPIL,32,13829
NAKURU,NAKURU TOWN WEST,SHAABAB,32,20561
KIAMBU,KIKUYU,SIGONA,32,19571
NAKURU,RONGAI,SOLAI,32,10488
WEST POKOT,KAPENGURIA,SOOK,32,6074
SIAYA,BONDO,SOUTH SAKWA,32,14827
KISUMU,KISUMU WEST,SOUTH WEST KISUMU,32,15592
TRANS NZOIA,SABOTI,TUWANI,32,20232
KISUMU,NYAKACH,WEST NYAKACH,32,14900
MERU,IGEMBE SOUTH,AKACHIU,33,14371
KISII,BONCHARI,BOMORENDA,33,17363
VIHIGA,EMUHAYA,CENTRAL BUNYORE,33,16731
HOMA BAY,KASIPUL,CENTRAL KASIPUL,33,15476
KISUMU,MUHORONI,CHEMELIL,33,16933
BUNGOMA,KANDUYI,EAST SANG'ALO,33,15555
NAKURU,GILGIL,ELEMENTAITA,33,15370
KISII,NYARIBARI MASABA,ICHUNI,33,15662
MURANG'A,KANDARA,KAGUNDU-INI,33,19129
MURANG'A,GATANGA,KAKUZI/MITUBIRI,33,15291
NAKURU,KURESOI NORTH,KAMARA,33,17026
BUNGOMA,KIMILILI,KAMUKUYWA,33,15409
MACHAKOS,KANGUNDO,KANGUNDO NORTH,33,14938
MACHAKOS,KANGUNDO,KANGUNDO WEST,33,16016
ELGEYO/MARAKWET,KEIYO NORTH,KAPCHEMUTWA,33,15672
KERICHO,AINAMOI,KAPKUGERWET,33,17635
KISUMU,KISUMU WEST,KISUMU NORTH,33,17599
MAKUENI,MAKUENI,KITISE/KITHUKI,33,11691
NANDI,ALDAI,KOBUJOI,33,14495
HOMA BAY,KABONDO KASIPUL,KOKWANYO/KAKELO,33,15402
TURKANA,LOIMA,KOTARUK/LOBEI,33,8174
UASIN GISHU,SOY,KUINET/KAPSUSWA,33,18005
BARINGO,ELDAMA RAVINE,LEMBUS,33,12471
KERICHO,KIPKELION EAST,LONDIANI,33,14597
KAKAMEGA,LUGARI,LUMAKANDA,33,17655
KWALE,KINANGO,MACKINNON ROAD,33,14214
MARSABIT,NORTH HORR,MAIKONA,33,9865
EMBU,MBEERE SOUTH,MAKIMA,33,11753
KAKAMEGA,MALAVA,MANDA-SHIVANGA,33,14677
KAKAMEGA,BUTERE,MARAMA WEST,33,16581
MURANG'A,KIHARU,MURARANDIA,33,17998
BUNGOMA,KANDUYI,MUSIKOMA,33,15826
MACHAKOS,MWALA,MUTHETHENI,33,12571
KIRINYAGA,KIRINYAGA CENTRAL,MUTIRA,33,18169
MACHAKOS,MACHAKOS TOWN,MUVUTI/KIIMA-KIMWE,33,17404
KIAMBU,GITHUNGURI,NGEWA,33,18876
NAIROBI CITY,LANGATA,NYAYO HIGHRISE,33,21800
KAKAMEGA,LIKUYANI,NZOIA,33,16973
BARINGO,TIATY,RIBKWO,33,5583
NYANDARUA,OL KALOU,RURII,33,15572
HOMA BAY,SUBA NORTH,RUSINGA ISLAND,33,14320
BARINGO,BARINGO NORTH,SAIMO/KIPSARAMAN,33,11657
ELGEYO/MARAKWET,KEIYO SOUTH,SOY SOUTH,33,10367
KISII,SOUTH MUGIRANGO,TABAKA,33,16395
KITUI,MWINGI CENTRAL,WAITA,33,10472
MURANG'A,KIHARU,WANGU,33,17355
BUNGOMA,KABUCHAI,WEST NALONDO,33,16198
MERU,IGEMBE CENTRAL,AKIRANG'ONDU,34,15637
MERU,IGEMBE NORTH,ANTUBETWE KIONGO,34,15108
WAJIR,WAJIR SOUTH,BENANE,34,11797
KISII,BONCHARI,BOGIAKUMU,34,17744
BUNGOMA,WEBUYE WEST,BOKOLI,34,15670
BUSIA,MATAYOS,BURUMBA,34,19496
KAKAMEGA,LURAMBI,BUTSOTSO CENTRAL,34,13902
MIGORI,RONGO,CENTRAL KAMAGAMBO,34,19077
ELGEYO/MARAKWET,KEIYO SOUTH,CHEPKORIO,34,14294
TRANS NZOIA,CHERANGANY,CHERANGANY/SUWERWA,34,16734
NYERI,OTHAYA,CHINGA,34,15143
KAKAMEGA,MUMIAS EAST,EAST WANGA,34,18952
NYAMIRA,BORABU,ESISE,34,14660
NAKURU,NAKURU TOWN EAST,FLAMINGO,34,21919
NYAMIRA,KITUTU MASABA,GACHUBA,34,16245
KILIFI,MALINDI,GANDA,34,18566
MURANG'A,GATANGA,GATANGA,34,16842
NYANDARUA,KINANGOP,GATHARA,34,18144
EMBU,RUNYENJES,GATURI NORTH,34,14872
KISII,NYARIBARI MASABA,GESUSU,34,14569
NAIROBI CITY,MATHARE,HURUMA,34,23018
KAKAMEGA,IKOLOMANI,IDAKHO CENTRAL,34,17095
KAKAMEGA,IKOLOMANI,IDAKHO EAST,34,15195
MAKUENI,KAITI,ILIMA,34,13774
KIAMBU,KABETE,KABETE,34,20571
MACHAKOS,KANGUNDO,KANGUNDO CENTRAL,34,16502
TURKANA,TURKANA EAST,KAPEDO/NAPEITOM,34,3721
KERICHO,AINAMOI,KAPSAOS,34,16310
TRANS NZOIA,KWANZA,KEIYO,34,14969
NYERI,NYERI TOWN,KIGANJO/MATHARI,34,15985
MURANG'A,GATANGA,KIHUMBU-INI,34,17142
MERU,BUURI,KIIRUA/NAARI,34,15690
TRANS NZOIA,SABOTI,KINYORO,34,17994
MAKUENI,MBOONI,KITHUNGO/KITUNDU,34,13472
KERICHO,BURETI,LITEIN,34,15858
NAIROBI CITY,RUARAKA,LUCKY SUMMER,34,20690
VIHIGA,VIHIGA,LUGAGA-WAMULUMA,34,17381
KISII,BOMACHOGE BORABU,MAGENCHE,34,17072
NAKURU,NAIVASHA,MAIELLA,34,15666
KIAMBU,GATUNDU NORTH,MANG'U,34,19032
TRANS NZOIA,ENDEBESS,MATUMBEI,34,16153
MERU,IGEMBE SOUTH,MAUA,34,17213
MACHAKOS,KATHIANI,MITABONI,34,16756
MOMBASA,KISAUNI,MJAMBERE,34,22692
NAIROBI CITY,MATHARE,MLANGO KUBWA,34,22765
NAIROBI CITY,EMBAKASI WEST,MOWLEM,34,23423
KAKAMEGA,MUMIAS WEST,MUMIAS CENTRAL,34,16551
BUSIA,FUNYULA,NAMBOBOTO NAMBUKU,34,15900
KWALE,KINANGO,NDAVAYA,34,12743
VIHIGA,EMUHAYA,NORTH EAST BUNYORE,34,16648
KISII,BOBASI,NYACHEKI,34,16988
KISII,KITUTU CHACHE NORTH,SENSI,34,15165
MOMBASA,MVITA,SHIMANZI/GANJONI,34,18556
MIGORI,SUNA EAST,SUNA CENTRAL,34,18244
UASIN GISHU,MOIBEN,TEMBELIO,34,15237
NANDI,TINDERET,TINDIRET,34,14259
TRANS NZOIA,KIMININI,WAITALUK,34,18759
MIGORI,URIRI,WEST KANYAMKAGO,34,14886
HOMA BAY,KASIPUL,WEST KASIPUL,34,14303
BUNGOMA,KANDUYI,WEST SANG'ALO,34,14809
SIAYA,RARIEDA,WEST UYOMA,34,17211
SIAYA,BONDO,YIMBO EAST,34,17008
MERU,IGEMBE SOUTH,ATHIRU GAITI,35,14443
KAKAMEGA,NAVAKHOLO,BUNYALA WEST,35,15946
UASIN GISHU,KESSES,CHEPTIRET/KIPCHAMO,35,16723
BOMET,BOMET CENTRAL,CHESOEN,35,17516
MIGORI,RONGO,EAST KAMAGAMBO,35,16141
KIAMBU,GATUNDU NORTH,GITUAMBA,35,19246
MARSABIT,MOYALE,GOLBO,35,15692
NYERI,MATHIRA,IRIAINI,35,18020
MURANG'A,KANDARA,ITHIRU,35,18335
KIAMBU,JUJA,KALIMONI,35,22567
ELGEYO/MARAKWET,KEIYO NORTH,KAMARINY,35,17416
MERU,IGEMBE CENTRAL,KANGETA,35,16103
KERICHO,AINAMOI,KAPSOIT,35,16117
MACHAKOS,MWALA,KIBAUNI,35,9976
BUNGOMA,KIMILILI,KIBINGEI,35,15751
BUNGOMA,BUMULA,KIMAETI,35,15546
KERICHO,KIPKELION WEST,KIPKELION,35,15140
KITUI,KITUI RURAL,KISASI,35,13840
